EthnologueLanguageID,EthnologueCountryID,EthnologueLangStatusID,Name
nag,IN,L,Naga Pidgin
naj,GN,L,Nalu
nak,PG,L,Nakanai
nal,PG,L,Nalik
nam,AU,L,Nangikurrunggurr
nan,CN,L,"Chinese, Min Nan"
nao,NP,L,Naaba
nap,IT,L,Napoletano-Calabrese
naq,NA,L,Nama
nar,NG,L,Iguta
nas,PG,L,Naasioi
nat,NG,L,Hungworo
nau,NR,L,Nauruan
nav,US,L,Navajo
naw,GH,L,Nawuri
nax,PG,L,Nakwi
nay,AU,E,Narrinyeri
naz,MX,L,"Nahuatl, Coatepec"
nba,AO,L,Nyemba
nbb,NG,L,Ndoe
nbc,IN,L,"Naga, Chang"
nbd,CD,L,Ngbinda
nbe,IN,L,"Naga, Konyak"
nbf,CN,L,Naxi
nbg,IN,L,Nagarchal
nbh,NG,L,Ngamo
nbi,IN,L,"Naga, Mao"
nbj,AU,L,Ngarinman
nbk,PG,L,Nake
nbl,ZA,L,Ndebele
nbm,CF,L,Ngbaka Ma'bo
nbn,ID,L,Kuri
nbo,NG,L,Nkukoli
nbp,NG,L,Nnam
nbq,ID,L,Nggem
nbr,NG,L,Numana-Nunku-Gbantu-Numbu
nbs,NA,L,Namibian Sign Language
nbt,IN,L,Na
nbu,IN,L,"Naga, Rongmei"
nbv,CM,L,Ngamambo
nbw,CD,L,"Ngbandi, Southern"
nbx,AU,N,Ngura
nby,PG,L,Ningera
nca,PG,L,Iyo
ncb,IN,L,"Nicobarese, Central"
ncc,PG,L,Ponam
ncd,NP,L,Nachering
nce,PG,L,Yale
ncf,PG,L,Notsi
ncg,CA,L,Nisga'a
nch,MX,L,"Nahuatl, Central Huasteca"
nci,MX,E,"Nahuatl, Classical"
ncj,MX,L,"Nahuatl, Northern Puebla"
nck,AU,L,Nakara
ncl,MX,L,"Nahuatl, Michoacán"
ncm,PG,L,Nambo
ncn,PG,L,Nauna
nco,PG,L,Sibe
ncp,CM,L,Ndaktup
ncr,CM,L,Ncane
ncs,NI,L,Nicaraguan Sign Language
nct,IN,L,"Naga, Chothe"
ncu,GH,L,Chumburung
ncx,MX,L,"Nahuatl, Central Puebla"
ncz,US,E,Natchez
nda,CG,L,Ndasa
ndb,CM,L,Kenswei Nsei
ndc,MZ,L,Ndau
ndd,NG,L,Nde-Nsele-Nta
nde,ZW,L,Ndebele
ndg,TZ,L,Ndengereko
ndh,TZ,L,Ndali
ndi,NG,L,Samba Leko
ndj,TZ,L,Ndamba
ndk,CD,L,Ndaka
ndl,CD,L,Ndolo
ndm,TD,L,Ndam
ndn,CG,L,Ngundi
ndo,NA,L,Ndonga
ndp,UG,L,Ndo
ndq,AO,L,Ndombe
ndr,NG,L,Ndoola
nds,DE,L,"Saxon, Low"
ndt,CD,L,Ndunga
ndu,CM,L,Dugun
ndv,SN,L,Ndut
ndw,CD,L,Ndobo
ndx,ID,L,Nduga
ndy,CF,L,Lutos
ndz,SD,L,Ndogo
nea,ID,L,"Ngad'a, Eastern"
neb,CI,L,Toura
nec,ID,L,Nedebang
